aarfra,amt,By/sogn,Befollkningstal,Type
1850,Aalborg,Aalborg Købstad,7772,Købstad
1850,Aalborg,Als,1623,Sogn
1850,Aalborg,Nørresundby,1511,Sogn
1850,Aalborg,Hals,1405,Sogn
1850,Aalborg,Løgsted,1386,Sogn
1850,Aalborg,Vadum,1268,Sogn
1850,Aalborg,Gunderup,1219,Sogn
1850,Aalborg,Nibe Købstad,1164,Købstad
1850,Aalborg,Vester Hassing,1098,Sogn
1850,Aalborg,Mou,1088,Sogn
1850,Aalborg,Nørre Tranders,1015,Sogn
1850,Aalborg,Øster Hassing,958,Sogn
1850,Aalborg,Ajstrup,956,Sogn
1850,Aalborg,Skelund,949,Sogn
1850,Aalborg,Bjørnsholm,945,Sogn
1850,Aalborg,Biersted,932,Sogn
1850,Aalborg,Astrup,855,Sogn
1850,Aalborg,Ulsted,834,Sogn
1850,Aalborg,Visborg,827,Sogn
1850,Aalborg,Sulsted,805,Sogn
1850,Aalborg,Farstrup,802,Sogn
1850,Aalborg,Sebber,793,Sogn
1850,Aalborg,Gudum,782,Sogn
1850,Aalborg,Bælum,777,Sogn
1850,Aalborg,Hammer,753,Sogn
1850,Aalborg,Vokslev,733,Sogn
1850,Aalborg,Solbjerg,729,Sogn
1850,Aalborg,Ove,725,Sogn
1850,Aalborg,Aaby,693,Sogn
1850,Aalborg,Ravnkilde,692,Sogn
1850,Aalborg,Horsens,664,Sogn
1850,Aalborg,Farsø,656,Sogn
1850,Aalborg,Budolfi Landsogn,623,Delsogn
1850,Aalborg,Hørby,593,Sogn
1850,Aalborg,Sønderholm,581,Sogn
1850,Aalborg,Øster Hornum,571,Sogn
1850,Aalborg,Skørping,570,Sogn
1850,Aalborg,Veggerby,563,Sogn
1850,Aalborg,Nørholm,558,Sogn
1850,Aalborg,Aars,542,Sogn
1850,Aalborg,Bislev,541,Sogn
1850,Aalborg,Rostrup,530,Sogn
1850,Aalborg,Strandby,529,Sogn
1850,Aalborg,Vive,524,Sogn
1850,Aalborg,Blenstrup,524,Sogn
1850,Aalborg,Aarestrup,523,Sogn
1850,Aalborg,Valsgaard,520,Sogn
1850,Aalborg,Næsborg,506,Sogn
1850,Aalborg,Buderup,482,Sogn
1850,Aalborg,Store Brøndum,476,Sogn
1850,Aalborg,Lyngby,471,Sogn
1850,Aalborg,Skarp Salling,461,Sogn
1850,Aalborg,Nøvling,452,Sogn
1850,Aalborg,Hvorup,434,Sogn
1850,Aalborg,Skibsted,433,Sogn
1850,Aalborg,Nørre Kongerslev,432,Sogn
1850,Aalborg,Vognsild,424,Sogn
1850,Aalborg,Ejdrup,421,Sogn
1850,Aalborg,Vebbestrup,413,Sogn
1850,Aalborg,Storvorde,407,Sogn
1850,Aalborg,Sønder Tranders,407,Sogn
1850,Aalborg,Fræer,396,Sogn
1850,Aalborg,Store Ajstrup,390,Sogn
1850,Aalborg,Gravlev,389,Sogn
1850,Aalborg,Ulstrup,387,Sogn
1850,Aalborg,Lovns,385,Sogn
1850,Aalborg,Blære,368,Sogn
1850,Aalborg,Vilsted,366,Sogn
1850,Aalborg,Svenstrup,359,Sogn
1850,Aalborg,Sønderup,326,Sogn
1850,Aalborg,Rold,326,Sogn
1850,Aalborg,Skivum,306,Sogn
1850,Aalborg,Torup,295,Sogn
1850,Aalborg,Ferslev,293,Sogn
1850,Aalborg,Sønder Kongerslev,290,Sogn
1850,Aalborg,Gundersted,274,Sogn
1850,Aalborg,Brorstrup,272,Sogn
1850,Aalborg,Vindblæs,270,Sogn
1850,Aalborg,Suldrup,270,Sogn
1850,Aalborg,Lundby,269,Sogn
1850,Aalborg,Døstrup,268,Sogn
1850,Aalborg,Store Arden,266,Sogn
1850,Aalborg,Lillevorde,263,Sogn
1850,Aalborg,Kornum,260,Sogn
1850,Aalborg,Alstrup,260,Sogn
1850,Aalborg,Gislum,255,Sogn
1850,Aalborg,Havbro,250,Sogn
1850,Aalborg,Stenild,249,Sogn
1850,Aalborg,Romdrup,239,Sogn
1850,Aalborg,Haverslev,229,Sogn
1850,Aalborg,Kongens Tisted,228,Sogn
1850,Aalborg,Komdrup,228,Sogn
