month,day,day.index,cholera.cases,cholera.deaths
6,12,1,2,1
6,13,2,1,1
6,14,3,0,0
6,15,4,0,0
6,16,5,1,0
6,17,6,0,0
6,18,7,1,1
6,19,8,0,0
6,20,9,7,4
6,21,10,3,2
6,22,11,2,2
6,23,12,3,2
6,24,13,3,1
6,25,14,17,14
6,26,15,4,4
6,27,16,7,4
6,28,17,11,7
6,29,18,19,13
6,30,19,9,4
7,1,20,13,9
7,2,21,31,19
7,3,22,34,30
7,4,23,42,31
7,5,24,27,13
7,6,25,44,34
7,7,26,49,39
7,8,27,49,38
7,9,28,60,42
7,10,29,49,33
7,11,30,84,59
7,12,31,73,48
7,13,32,101,73
7,14,33,153,120
7,15,34,305,229
7,16,35,309,227
7,17,36,284,198
7,18,37,255,180
7,19,38,310,202
7,20,39,333,227
7,21,40,246,175
7,22,41,258,172
7,23,42,221,152
7,24,43,209,140
7,25,44,261,172
7,26,45,270,206
7,27,46,340,217
7,28,47,277,174
7,29,48,226,160
7,30,49,213,141
7,31,50,205,136
8,1,51,147,84
8,2,52,149,92
8,3,53,133,81
8,4,54,121,61
8,5,55,120,67
8,6,56,84,45
8,7,57,59,35
8,8,58,100,52
8,9,59,78,38
8,10,60,61,32
8,11,61,63,37
8,12,62,58,41
8,13,63,47,22
8,14,64,46,23
8,15,65,46,27
8,16,66,45,24
8,17,67,34,17
8,18,68,35,18
8,19,69,33,17
8,20,70,25,9
8,21,71,20,8
8,22,72,21,11
8,23,73,32,18
8,24,74,22,10
8,25,75,29,13
8,26,76,20,13
8,27,77,13,6
8,28,78,11,6
8,29,79,21,8
8,30,80,9,4
8,31,81,10,6
9,1,82,9,4
9,2,83,8,5
9,3,84,8,4
9,4,85,11,8
9,5,86,6,3
9,6,87,5,0
9,7,88,3,2
9,8,89,3,1
9,9,90,0,0
9,10,91,2,1
9,11,92,3,3
9,12,93,4,0
9,13,94,4,0
9,14,95,8,6
9,15,96,8,1
9,16,97,1,0
9,17,98,5,3
9,18,99,6,5
9,19,100,2,2
9,20,101,1,1
9,21,102,0,0
9,22,103,0,0
9,23,104,1,1
9,24,105,1,1
9,25,106,3,3
9,26,107,0,0
9,27,108,0,0
9,28,109,1,0
9,29,110,1,0
9,30,111,1,1
10,1,112,1,1
