street,quarter,Census name,male sick,female sick,male dead,female dead,street index,start date,end date
Adelgade,St. Annae Vester,Adelgade,28,29,21,22,37,03-07-1853,09-07-1853
Adelgade,St. Annae Vester,Adelgade,1,0,0,0,37,04-09-1853,10-09-1853
Adelgade,St. Annae Vester,Adelgade,43,64,30,45,37,10-07-1853,16-07-1853
Adelgade,St. Annae Vester,Adelgade,0,0,0,0,37,11-09-1853,17-09-1853
Adelgade,St. Annae Vester,Adelgade,0,0,0,0,37,12-06-1853,18-06-1853
Adelgade,St. Annae Vester,Adelgade,0,10,4,3,37,14-08-1853,20-08-1853
Adelgade,St. Annae Vester,Adelgade,48,62,29,38,37,17-07-1853,23-07-1853
Adelgade,St. Annae Vester,Adelgade,2,1,2,1,37,18-09-1853,24-09-1853
Adelgade,St. Annae Vester,Adelgade,0,2,0,1,37,19-06-1853,25-06-1853
Adelgade,St. Annae Vester,Adelgade,3,2,1,0,37,21-08-1853,27-08-1853
Adelgade,St. Annae Vester,Adelgade,42,64,26,43,37,24-07-1853,30-07-1853
Adelgade,St. Annae Vester,Adelgade,0,0,0,0,37,25-09-1853,01-10-1853
Adelgade,St. Annae Vester,Adelgade,10,12,8,0,37,26-06-1853,02-07-1853
Adelgade,St. Annae Vester,Adelgade,2,1,0,0,37,28-08-1853,03-09-1853
Adelgade,St. Annae Vester,Adelgade,29,31,18,18,37,31-07-1853,06-08-1853
Adelgade,St. Annae Vester,Adelgade,7,16,4,8,37,07-08-1853,13-08-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,03-07-1853,09-07-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,12-06-1853,18-06-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,19-06-1853,25-06-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,26-06-1853,02-07-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,10-07-1853,16-07-1853
Admiralgade,Oester,Admiralgade,1,0,1,0,142,17-07-1853,23-07-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,24-07-1853,30-07-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,31-07-1853,06-08-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,07-08-1853,13-08-1853
Admiralgade,Oester,Admiralgade,1,0,1,0,142,14-08-1853,20-08-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,21-08-1853,27-08-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,28-08-1853,03-09-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,04-09-1853,10-09-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,11-09-1853,17-09-1853
Admiralgade,Oester,Admiralgade,0,0,0,0,142,18-09-1853,24-09-1853
