gender,age
M,48
K,38
M,9
K,26
K,18
K,22
M,55
K,49
K,26
K,20
M,28
M,24
K,19
M,42
K,42
K,15
M,11
M,8
K,6
M,1
M,20
M,17
K,22
K,19
M,52
K,46
K,25
K,28
K,25
K,22
M,37
K,41
M,7
M,4
K,17
M,43
K,35
M,16
M,14
M,55
M,40
K,40
K,1
M,46
M,20
M,43
K,45
K,16
M,8
M,1
M,42
K,44
M,10
M,62
M,40
K,34
M,10
M,7
K,NULL
M,4
K,2
K,25
K,34
K,17
M,27
M,19
M,23
M,43
K,39
M,14
K,13
M,21
M,49
K,29
K,24
K,7
M,5
M,3
M,1
M,30
K,27
K,20
K,19
M,45
M,26
M,19
M,33
K,46
M,37
K,31
M,12
M,10
M,8
M,3
K,1
M,27
M,20
K,23
M,37
K,30
M,31
K,42
M,7
M,54
K,53
M,15
M,9
M,22
M,24
M,55
K,35
K,19
K,18
K,6
K,4
K,34
M,28
M,22
K,21
K,31
K,18
M,35
M,16
M,36
K,36
K,3
M,38
K,37
M,10
M,7
M,4
M,2
M,NULL
M,NULL
K,65
M,31
K,27
M,1
K,22
M,16
K,56
M,16
M,18
M,15
K,22
M,39
K,39
K,8
K,5
M,2
M,13
K,25
K,17
K,71
K,29
K,2
K,75
K,29
K,6
K,4
M,40
K,47
K,21
K,16
M,15
M,13
K,11
M,10
K,7
K,29
M,24
M,24
M,29
M,20
M,20
M,18
M,16
K,51
K,49
K,24
M,17
K,15
M,13
K,12
K,25
K,63
K,51
K,63
K,33
M,39
M,34
M,18
M,19
K,26
M,57
K,66
K,35
K,22
K,69
K,40
K,NULL
K,25
M,34
K,34
K,68
M,10
M,8
K,6
M,3
K,23
K,18
M,18
M,17
M,16
M,15
M,26
M,68
K,55
K,25
K,9
K,34
M,32
K,30
M,9
K,5
M,3
K,24
M,18
M,67
M,62
K,36
M,33
M,21
M,16
M,15
M,57
M,33
K,32
K,11
K,16
K,27
M,24
M,18
M,17
M,35
K,32
K,3
M,0
M,25
M,18
M,20
M,63
K,45
K,24
K,28
K,44
K,5
K,23
M,28
M,38
K,31
M,35
K,26
K,7
M,5
K,3
M,24
K,27
K,3
M,1
M,24
K,24
K,2
K,1
M,26
M,22
M,44
K,56
M,20
M,20
K,32
M,50
K,80
M,53
K,56
K,18
M,10
M,39
K,33
K,35
M,51
K,22
M,20
M,17
M,13
M,10
M,7
U,NULL
K,48
K,16
K,14
M,12
M,51
K,48
K,21
M,24
M,20
M,24
K,20
M,65
K,33
M,21
M,16
M,28
K,27
M,54
K,50
M,25
K,21
K,20
M,14
K,27
M,31
K,27
M,4
M,1
K,14
K,20
M,47
K,38
K,7
M,2
K,40
K,31
K,NULL
M,26
M,39
K,36
M,7
M,4
M,2
K,1
M,21
M,19
M,16
K,22
K,29
K,17
M,32
M,25
K,36
M,40
K,34
M,25
M,37
M,45
M,59
M,34
M,35
M,36
K,28
M,73
K,67
M,35
M,4
K,2
K,40
K,20
K,26
K,22
K,16
M,33
K,29
K,5
K,3
K,1
K,23
M,22
M,23
M,17
M,17
M,16
M,26
M,24
K,28
K,20
