age,male,female,total,year,place
0-9,,,1446,1850,aalborg
10-19,,,1349,1850,aalborg
20-29,,,1493,1850,aalborg
30-39,,,1289,1850,aalborg
40-49,,,811,1850,aalborg
50-59,,,616,1850,aalborg
60-69,,,420,1850,aalborg
70-79,,,224,1850,aalborg
80+,,,63,1850,aalborg
unknown,,,61,1850,aalborg
0-9,,,1850,1855,aalborg
10-19,,,1587,1855,aalborg
20-29,,,2029,1855,aalborg
30-39,,,1528,1855,aalborg
40-49,,,922,1855,aalborg
50-59,,,616,1855,aalborg
60-69,,,344,1855,aalborg
70-79,,,189,1855,aalborg
80+,,,43,1855,aalborg
unknown,,,79,1855,aalborg
0-9,,,442,1850,korsoer
10-19,,,322,1850,korsoer
20-29,,,328,1850,korsoer
30-39,,,297,1850,korsoer
40-49,,,194,1850,korsoer
50-59,,,120,1850,korsoer
60-69,,,79,1850,korsoer
70-79,,,31,1850,korsoer
80+,,,2,1850,korsoer
unknown,,,0,1850,korsoer
0-9,,,768,1860,korsoer
10-19,,,537,1860,korsoer
20-29,,,542,1860,korsoer
30-39,,,541,1860,korsoer
40-49,,,316,1860,korsoer
50-59,,,146,1860,korsoer
60-69,,,81,1860,korsoer
70-79,,,25,1860,korsoer
80+,,,3,1860,korsoer
unknown,,,2,1860,korsoer
